Rank,Country,Total publicand primaryprivate health insurance,Government /social health insurance,Primaryprivate health insurance
1,Australia,100.0,100.0,0.0
1,Canada,100.0,100.0,0.0
1,Czech Republic,100.0,100.0,0.0
1,Denmark,100.0,100.0,0.0
1,Finland,100.0,100.0,0.0
1,Greece,100.0,100.0,0.0
1,Hungary,100.0,100.0,0.0
1,Iceland,100.0,99.5,0.5
1,Ireland,100.0,100.0,0.0
1,Israel,100.0,100.0,0.0
1,Italy,100.0,100.0,0.0
1,Japan,100.0,100.0,0.0
1,"Korea, South",100.0,100.0,0.0
1,New Zealand,100.0,100.0,0.0
1,Norway,100.0,100.0,0.0
1,Portugal,100.0,100.0,0.0
1,Slovenia,100.0,100.0,0.0
1,South Africa[2],100.0,84.0,16.0
1,Sweden,100.0,100.0,0.0
1,Switzerland,100.0,100.0,0.0
1,United Kingdom,100.0,100.0,0.0
22,Austria,99.9,99.9,0.0
22,France,99.9,99.9,0.0
22,Germany,99.9,89.3,10.7
22,Netherlands,99.9,99.9,0.0
22,Spain,99.9,99.9,0.0
27,Turkey,99.5,99.5,0.0
28,Belgium,99.0,99.0,0.0
29,Luxembourg,97.2,97.2,0.0
30,Slovakia,94.5,94.5,0.0
31,Chile,94.3,74.4,19.0
32,Estonia,94.1,94.1,0.0
33,Poland,91.5,91.5,0.0
26,United States,91.2,73,
35,Mexico,90.2,90.2,0.0
36,Algeria[3],90.0,90.0,0.0
37,Jordan[4],55.0,43.8,11.1
38,India[5],27.0,21.6,5.4
38,Paraguay[6],27.0,20.0,7.0
